AuthorName	TitleName	TagName
Alarcón, Pedro Antonio de	Viajes por España	Literatura Hispanoamericana
Aeschylus	The persians	Literatura Universal
Alighieri, Dante	The divine comedy	Literatura Universal
Aristophanes	The frogs	Literatura Universal
Andersen, H. C.	The little mermaid	Infantil y juvenil
Andersen, H. C.	The snow Queen	Infantil y juvenil
Andersen, H. C.	The ugly duckling	Infantil y juvenil
Austen, Jane	Sentido y sensibilidad	Palabras sinfónicas (audiolibros)
Acuña, Manuel	Selección de poemas (Acuña, Manuel)	Literatura Hispanoamericana
Alas "Clarín", Leopoldo	Su único hijo	Literatura Hispanoamericana
Asensi, Julia de	Santiago Arabal. Historia de un pobre niño	Literatura Hispanoamericana
Austen, Jane	Sentido y sensibilidad	Literatura Universal
Austen, Jane	Sense and Sensibility	Literatura Universal
Azuela, Mariano	Sin amor	Literatura Hispanoamericana
Aguinaldo, Emilio	Reseña verídica de la Revolución Filipina	Literatura Universal
Aeschylus	Prometheus bound	Literatura Universal
Anónimo	Popol Vuh	Literatura Hispanoamericana
Asunción Silva, José	Poesías	Literatura Hispanoamericana
Austen, Jane	Pride and Prejudice	Infantil y juvenil
Anónimo	Popol Vuh	Historia y Novela histórica
Ariosto, Ludovico	Orlando furioso Tomo I	Literatura Universal
Ariosto, Ludovico	Orlando furioso Tomo II	Literatura Universal
Austen, Jane	Orgullo y prejuicio	Literatura Universal
Altamirano, Ignacio Manuel	Navidad en las montañas	Literatura Universal
Adler, María Raquel	Místicas	Literatura Hispanoamericana
Alcott, Louisa May	Mujercitas	Literatura Universal
Alcott, Louisa May	Mujercitas	Infantil y juvenil
Aurelio, Marco	Meditaciones de Marco Aurelio	Autoayuda
Aurelius, Marcus	Meditations	Autoayuda
Alighieri, Dante	La divina comedia	Palabras sinfónicas (audiolibros)
Ancona, Eligio	Los mártires del Anáhuac	Palabras sinfónicas (audiolibros)
Anónimo	La vida de Lazarillo de Tormes y de sus fortunas y adversidades.	Palabras sinfónicas (audiolibros)
About, Edmond	La nariz de un notario	Literatura Universal
Aimard, Gustave	Los merodeadores de fronteras	Literatura Universal
Aimard, Gustave	Las noches mejicanas	Literatura Universal
Alas "Clarín", Leopoldo	La Regenta	Literatura Universal
Alas "Clarín", Leopoldo	La Regenta	Literatura Hispanoamericana
Alighieri, Dante	La Divina Comedia	Literatura Universal
Ancona, Eligio	Los mártires del Anáhuac	Literatura Hispanoamericana
Andersen, Hans Christian	La Reina de las Nieves	Literatura Universal
Anónimo	Las mil y una noches	Literatura Universal
Anónimo	La vida de Lazarillo de Tormes y de sus fortunas y adversidades	Literatura Universal
Anónimo	La vida de Lazarillo de Tormes y de sus fortunas y adversidades	Literatura Hispanoamericana
Arlt, Roberto	Los siete locos	Literatura Hispanoamericana
Austen, Jane	Lady Susan	Literatura Universal
Austen, Jane	Lady Susan	Literatura Universal
Austen, Jane	Love and friendship	Literatura Universal
Azorín	Los valores literarios	Literatura Hispanoamericana
Alcott, Louisa May	Little Women	Infantil y juvenil
Acosta, Soledad	La mujer en la sociedad moderna	Historia y Novela histórica
Ancona, Eligio	Los mártires del Anáhuac	Historia y Novela histórica
Abenza y Rodríguez, Aureliano	Los caminos para el éxito	Ensayo
Acosta, Soledad	La mujer en la sociedad moderna	Ensayo
Abenza y Rodríguez, Aureliano	Los caminos para el éxito	Autoayuda
Acosta, Soledad	La mujer en la sociedad moderna	Autoayuda
Allen, James	La realización de la prosperidad y la paz	Autoayuda
Acosta, José de	Historia Natural y moral de las Indias	Historia y Novela histórica
Altamirano, Ignacio Manuel	El Zarco	Palabras sinfónicas (audiolibros)
Alarcón, Pedro Antonio de	El sombrero de tres picos	Literatura Hispanoamericana
Alarcón, Pedro Antonio de	El capitán veneno	Literatura Hispanoamericana
Alarcón, Pedro Antonio de	El clavo	Literatura Hispanoamericana
Alarcón, Pedro Antonio de	El niño de la bola	Literatura Hispanoamericana
Alonso, Manuel Antonio	El Gibaro: Cuadro de costumbres de la isla de Puerto Rico	Literatura Hispanoamericana
Altamirano, Ignacio Manuel	El Zarco	Literatura Hispanoamericana
Andersen, Hans Christian	El patito feo	Literatura Universal
Andréiev, Leonid	El abismo	Literatura Universal
Arlt, Roberto	El juguete rabioso	Literatura Hispanoamericana
Arlt, Roberto	El jorobadito y otros cuentos	Literatura Hispanoamericana
Austen, Jane	Emma	Literatura Universal
Austen, Jane	El castillo de Lesley	Literatura Universal
Austen, Jane	Emma	Literatura Universal
Altamirano, Ignacio Manuel	El Zarco	Historia y Novela histórica
Allen, James	El camino de la paz	Autoayuda
Aristóteles	Del sentido y lo sensible	Ensayo
Aristóteles	Del sentido y lo sensible	Autoayuda
ASUME	Curso para maestros nivel 1 superacion humana	Palabras sinfónicas (audiolibros)
Altamirano, Manuel	Clemencia	Literatura Hispanoamericana
Altamirano, Manuel	Cuentos de invierno	Literatura Hispanoamericana
Anónimo	Cantar de Mio Cid	Literatura Universal
Anónimo	Cantar de Mio Cid	Literatura Hispanoamericana
Aristófanes	Comedias I	Literatura Universal
Aristófanes	Comedias II	Literatura Universal
Aristófanes	Comedias III	Literatura Universal
Altamirano, Manuel	Clemencia	Historia y Novela histórica
Alzate, José Antonio de	Caracteres del indio de la Nueva España y otros escritos	Historia y Novela histórica
Austen, Jane	Amor y amistad	Literatura Universal
Aristóteles	Acerca del alma	Ensayo
Alas "Clarín", Leopoldo	¡Adiós, Cordera!	Literatura Universal
