AuthorName	TitleName	TagName
Brontë, Emily	Wuthering Heights	Literatura Universal
Barcia, Roque	Un paseo por París	Literatura Hispanoamericana
Barranco, Mariano	Tres comedias modernas en un acto y en prosa	Literatura Hispanoamericana
Baudelaire, Charles	The flowers of evil	Literatura Universal
Brooke, L. Leslie	The Story of the Three Little Pigs	Literatura Universal
Burroughs, Edgar Rice	Tarzán de los monos	Literatura Universal
Brooke, L. Leslie	The Story of the Three Little Pigs	Infantil y juvenil
Bustamante, Carlos María de	Tres estudios sobre don José María Morelos y Pavón	Historia y Novela histórica
Barrie, James Matthew	Peter Pan y Wendy	Literatura Universal
Barrie, J. M.	Peter Pan	Infantil y juvenil
Barrie, James Matthew	Peter Pan y Wendy	Infantil y juvenil
Bacon, Francis	New Atlantis	Literatura Universal
Bulgákov, Mijaíl	Maleficios	Literatura Universal
Bonaparte, Napoleón	Máximas y pensamientos	Autoayuda
Baroja, Pío	Los caminos del mundo	Literatura Hispanoamericana
Baudelaire, Charles	Las flores del mal	Literatura Universal
Bécquer, Gustavo Adolfo	Leyendas	Literatura Universal
Beecher Stowe, Harriet	La cabaña del tío Tom	Literatura Universal
Blanco Asenjo, Ricardo	La calavera denunciadora	Literatura Hispanoamericana
Blasco Ibáñez, Vicente	La bodega	Literatura Hispanoamericana
Blasco Ibáñez, Vicente	La catedral	Literatura Hispanoamericana
Burnett, Frances Hodgson	La princesita	Literatura Universal
Bannerman, Helen	Little Black Sambo	Infantil y juvenil
Bécquer, Gustavo Adolfo	Leyendas	Infantil y juvenil
Baroja, Pío	Los caudillos de 1830	Historia y Novela histórica
Bello, Andrés	Gramática de la lengua castellana destinada al uso de los americanos	Ensayo
Balmes, Jaime Luciano	Filosofía fundamental Tomo I	Literatura Hispanoamericana
Balmes, Jaime Luciano	Filosofía fundamental Tomo II	Literatura Hispanoamericana
Balmes, Jaime Luciano	Filosofía fundamental Tomo III	Literatura Hispanoamericana
Balmes, Jaime Luciano	Filosofía fundamental Tomo IV	Literatura Hispanoamericana
Balzac, Honoré de	Father Goriot	Literatura Universal
Baroja, Pío	El árbol de la ciencia	Literatura Hispanoamericana
Baroja, Pío	El amor, el dandysmo y la intriga	Literatura Hispanoamericana
Baroja, Pío	El aprendiz de conspirador	Literatura Hispanoamericana
Baum, L. Frank	El mago de Oz	Literatura Universal
Blasco Ibáñez, Vicente	El fantasma de las alas de oro	Literatura Hispanoamericana
Blasco Ibáñez, Vicente	Entre naranjos	Literatura Hispanoamericana
Bulgákov, Mijaíl	El maestro y Margarita	Literatura Universal
Burnett, Frances Hodgson	El jardín secreto	Literatura Universal
Baum, L. Frank	El mago de Oz	Infantil y juvenil
Baroja, Pío	El árbol de la ciencia	Ensayo
Bierce, Ambrose	Cuentos de horror	Literatura Universal
Blanco-Fombona, Rufino	Cuentos de poeta	Literatura Hispanoamericana
Brontë, Emily	Cumbres Borrascosas	Literatura Universal
Bulgákov, Mijaíl	Corazón de perro	Literatura Universal
Bolivar, Simón	Carta de Jamaica	Ensayo
Blasco Ibáñez, Vicente	Arroz y tartana	Literatura Hispanoamericana
Brontë, Anne	Agnes Grey	Literatura Universal
Burnett, Frances Hodgson	A Little Princess	Literatura Universal
Bannerman, Helen	Astronomía recreativa	Académicos
