AuthorName	TitleName	TagName
Defoe, Daniel	The Life and Adventures of Robinson Crusoe	Literatura Universal
Dostoyevsky, Fyodor	The Brothers Karamazov	Literatura Universal
Dostoyevsky, Fyodor	The gambler	Literatura Universal
Doyle, Arthur Conan	The White Company	Literatura Universal
Dumas, Alexandre	The Three Musketeers	Literatura Universal
Dumas, Alexandre	The Man in the Iron Mask	Literatura Universal
Dumas, Alexandre	The Count of Monte Cristo	Literatura Universal
Duncan, Sara Jeannette	The imperialist	Literatura Universal
Doyle, Arthur Conan	The Adventures of Sherlock Holmes	Infantil y juvenil
Dumas, Alexandre	The Three Musketeers	Infantil y juvenil
Descartes, René	Tratado del hombre	Ensayo
Darío, Rubén	Selección de cuentos (Darío, Rubén)	Palabras sinfónicas (audiolibros)
Darío, Rubén	Selección de cuentos (Darío, Rubén)	Literatura Hispanoamericana
Dickens, Charles	Selección de cuentos (Dickens, Charles)	Literatura Universal
Doyle, Arthur Conan	Su última reverencia	Literatura Universal
Dickens, Charles	Selección de cuentos (Dickens, Charles)	Infantil y juvenil
Defoe, Daniel	Robinson Crusoe	Palabras sinfónicas (audiolibros)
Defoe, Daniel	Robinson Crusoe	Literatura Universal
Dickens, Charles	Oliver Twist	Literatura Universal
Dickens, Charles	Oliver Twist	Literatura Universal
Dickens, Charles	Oliver Twist	Infantil y juvenil
Dostoyevsky, Fyodor	Notes from the underground	Literatura Universal
Dos Passos, John	Manhattan Transfer	Literatura Universal
Dostoyevski, Fiódor	Memorias del subsuelo	Literatura Universal
Delgado, Rafael	Los parientes ricos	Palabras sinfónicas (audiolibros)
Delgado, Rafael	Los parientes ricos	Literatura Hispanoamericana
Dostoievski, Fiódor	Los hermanos Karamazov	Literatura Universal
Dostoyevski, Fiódor	La patrona	Literatura Universal
Doyle, Arthur Conan	La Guardia Blanca	Literatura Universal
Doyle, Arthur Conan	Las aventuras de Sherlock Holmes	Literatura Universal
Doyle, Arthur Conan	Las memorias de Sherlock Holmes	Literatura Universal
Doyle, Arthur Conan	La lámpara roja	Literatura Universal
Dumas, Alexandre	Los tres mosqueteros	Literatura Universal
Da Cunha, Euclides	Los sertones	Historia y Novela histórica
Dickens, Charles	Historia de dos ciudades	Literatura Universal
Dickens, Charles	Grandes esperanzas	Literatura Universal
Dickens, Charles	Great Expectations	Infantil y juvenil
Darwin, Charles	El origen de las especies	Palabras sinfónicas (audiolibros)
Dumas, Alejandro	El hombre de la máscara de hierro	Palabras sinfónicas (audiolibros)
Darío, Rubén	El palacio del sol	Literatura Hispanoamericana
Dickens, Charles	El misterio de Edwin Drood	Literatura Universal
Dostoyevski, Fiódor	El jugador	Literatura Universal
Doyle, Arthur Conan	Estudio en escarlata	Literatura Universal
Doyle, Arthur Conan	El signo de los cuatro	Literatura Universal
Doyle, Arthur Conan	El sabueso de los Baskerville	Literatura Universal
Doyle, Arthur Conan	El regreso de Sherlock Holmes	Literatura Universal
Doyle, Arthur Conan	El valle del terror	Literatura Universal
Doyle, Arthur Conan	El archivo de Sherlock Holmes	Literatura Universal
Dumas, Alexandre	El hombre de la máscara de hierro	Literatura Universal
Dumas, Alexandre	El conde de Montecristo	Literatura Universal
Dumas, Alexandre	El caballero de Harmental	Literatura Universal
Dumas, Alexandre	El collar de la Reina	Literatura Universal
Díaz Covarrubias, Juan	El diablo en México	Historia y Novela histórica
Da Vinci, Leonardo	El tratado de la pintura	Ensayo
Darwin, Charles	El origen de las especies	Ensayo
Dickens, Charles	David Copperfield	Literatura Universal
Dostoyevski, Fiódor	Diario de un escritor	Ensayo
Dickens, Charles	Cuento de Navidad	Palabras sinfónicas (audiolibros)
Dickens, Charles	Cuento de Navidad	Palabras sinfónicas (audiolibros)
Díaz Dufoo, Carlos	Cuentos nerviosos	Literatura Hispanoamericana
Dickens, Charles	Cuento de Navidad	Literatura Universal
Dostoyevski, Fiódor	Crimen y castigo	Literatura Universal
Dostoyevsky, Fyodor	Crime and punishment	Literatura Universal
Dickens, Charles	Cuento de Navidad	Infantil y juvenil
Dickens, Charles	Cuento de Navidad	Autoayuda
Del Valle Inclán, Ramón	Águila de blasón	Literatura Hispanoamericana
Delgado, Rafael	Angelina	Palabras sinfónicas (audiolibros)
Darío, Rubén	Abrojos	Literatura Hispanoamericana
Delgado, Rafael	Angelina	Literatura Hispanoamericana
Dickens, Charles	A Christmas Carol	Infantil y juvenil
Delgado, Rafael	Angelina	Historia y Novela histórica
Dávalos, Marcelino	¡Carne de cañón!	Literatura Hispanoamericana
