AuthorName	TitleName	TagName
Eliot, George	The Mill on the Floss	Literatura Universal
Eguren, José María	Poemas (Eguren, José María)	Literatura Hispanoamericana
Esquilo	Prometeo encadenado	Literatura Universal
Eurípides	Medea	Literatura Universal
Eça de Queiros, José María	La reliquia	Literatura Universal
Esquilo	Las coéforas	Literatura Universal
Esquilo	Las euménides	Literatura Universal
Esquilo	Los persas	Literatura Universal
Eça de Queiros, José María	El Mandarín	Literatura Universal
Espronceda, José de	El estudiante de Salamanca	Literatura Universal
Epicteto	Enquiridión o manual de epicteto	Ensayo
Espinosa, Agustín	Crimen	Literatura Hispanoamericana
Eça de Queiros, José María	Adán y Eva en el paraíso	Literatura Universal
Esquilo	Agamenón	Literatura Universal
