AuthorName	TitleName	TagName
Fundación Carlos Slim	Who am I?	Infantil y juvenil
Fundación Carlos Slim	Who am I?	Infantil y juvenil
Feijoo, Benito Jerónimo	Teatro crítico universal	Literatura Hispanoamericana
Fitzgerald, F. Scott	The Great Gatsby	Literatura Universal
Frías, Heriberto	Tomochic	Literatura Hispanoamericana
Frías, Heriberto	Tomochic	Historia y Novela histórica
Feijoo, Benito Jerónimo	Teatro crítico universal	Ensayo
Fitzgerald, F. Scott	Sobre la escritura	Ensayo
Flores, Manuel María	Poesía	Literatura Hispanoamericana
Fundación Carlos Slim	Memoria de la Unidad Temporal Covid - 19	Memorias
Fernández Bremón, José	La vista de los ciegos	Literatura Hispanoamericana
Flaubert, Gustave	La educación sentimental	Literatura Universal
Fundación Carlos Slim	Guía práctica para el desarrollo de tu hijo	Académicos
Fernández de Lizardi, José Joaquín	El Periquillo Sarniento	Literatura Universal
Fernández de Lizardi, José Joaquín	El Periquillo Sarniento	Literatura Hispanoamericana
Fernández de Moratín, Leandro	El sí de las niñas	Literatura Universal
Fernández de Moratín, Leandro	El sí de las niñas	Literatura Hispanoamericana
Fitzgerald, F. Scott	El gran Gatsby	Literatura Universal
Fitzgerald, F. Scott	El curioso caso de Benjamin Button	Literatura Universal
Fitzgerald, F. Scott	El crucero de la Chatarra Rodante	Literatura Universal
Franklin, Benjamin	El camino a la riqueza	Autoayuda
Fundación Carlos Slim	¿Quién Soy?	Infantil y juvenil
Fundación Carlos Slim	¿Quién Soy?	Infantil y juvenil
