AuthorName	TitleName	TagName
Güiraldes, Ricardo	Xaimaca	Literatura Hispanoamericana
Güiraldes, Ricardo	Xaimaca	Historia y Novela histórica
Goethe	The Sorrows of Young Werther	Literatura Universal
Gutiérrez Nájera, Manuel	Selección de poemas (Gutiérrez Nájera, Manuel)	Literatura Hispanoamericana
Gógol, Nikolái	Nochebuena	Literatura Universal
Grimm (Hermanos)	La reina de las abejas	Palabras sinfónicas (audiolibros)
García Lorca, Federico	La casa de Bernarda Alba	Literatura Hispanoamericana
García Lorca, Federico	La zapatera prodigiosa	Literatura Hispanoamericana
García Lorca, Federico	Los títeres de cachiporra	Literatura Hispanoamericana
Goethe	Las penas del joven Werther	Literatura Universal
Guiteras, Pedro José	Historia de la conquista de la Habana	Palabras sinfónicas (audiolibros)
Guiteras, Pedro José	Historia de la conquista de la Habana	Historia y Novela histórica
Goethe	Fausto	Literatura Universal
Goethe	Faust: A Tragedy	Literatura Universal
García Lorca, Federico	El público	Literatura Hispanoamericana
Gilman, Charlotte Perkins	El tapiz amarillo	Literatura Universal
Gracián, Baltasar	El arte de la prudencia	Ensayo
Gutiérrez Nájera, Manuel	El arte y el materialismo	Ensayo
Gracián, Baltasar	El arte de la prudencia	Autoayuda
Gracián, Baltasar	El héroe	Autoayuda
Gilman, Charlotte Perkins	Dellas. Un mundo femenino	Literatura Universal
Gógol, Nikolái	Diario de un loco	Literatura Universal
Garcilaso, Inca	Comentarios reales de los Incas	Palabras sinfónicas (audiolibros)
Gutiérrez Nájera, Manuel	Cuentos frágiles	Palabras sinfónicas (audiolibros)
Gorostiza, Eduardo de	Contigo pan y cebolla	Literatura Hispanoamericana
Gutiérrez Nájera, Manuel	Cuentos frágiles	Literatura Hispanoamericana
García Lorca, Federico	Bodas de sangre	Literatura Hispanoamericana
Guerrero, Teodoro	Al calor del hogar. Impresiones y cantares	Literatura Hispanoamericana
