AuthorName	TitleName	TagName
Hale, Edward Everett	The man without a country and other tales	Literatura Universal
Hawthorne, Nathaniel	The Scarlet Letter	Literatura Universal
Hoffman, E. T. A.	The sand-man	Literatura Universal
Homer	The Odyssey	Literatura Universal
Homer	The Iliad	Literatura Universal
Humphreys, Eliza Margaret Jane	Two bad blue eyes	Literatura Universal
Hartwell, E. C.	The teaching of History	Ensayo
Hesiodo	Trabajos y días	Autoayuda
Hermanos Grimm	Selección de cuentos (Hermanos Grimm)	Literatura Universal
Hermanos Grimm	Selección de cuentos (Hermanos Grimm)	Literatura Universal
Hermanos Grimm	Selección de cuentos (Hermanos Grimm)	Infantil y juvenil
Hermanos Grimm	Selección de cuentos (Hermanos Grimm)	Infantil y juvenil
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Infantil y juvenil
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Infantil y juvenil
Hesse, Herman	Siddhartha	Ensayo
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Académicos
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Académicos
Hoffman, Heinrich	Struwwelpeter. Merry Stories and Funny Pictures	Académicos
Hemingway, Ernest	Por quién doblan las campanas	Literatura Universal
Hugo, Victor	Pamplona	Literatura Universal
Homero	Odisea	Literatura Universal
Hugo, Victor	Nuestra Señora de París	Literatura Universal
Hugo, Victor	Notre-Dame de Paris	Literatura Universal
Hugo, Victor	Nuestra Señora de París	Infantil y juvenil
Hermanos Grimm	Las tres hilanderas	Palabras sinfónicas (audiolibros)
Hawthorne, Nathaniel	La letra escarlata	Literatura Universal
Heródoto	Los nueve libros de la historia	Literatura Universal
Homero	La Ilíada	Literatura Universal
Hugo, Victor	Los miserables	Literatura Universal
Huho, Victor	Les Misérables	Literatura Universal
Hermanos Grimm	Las tres hilanderas	Infantil y juvenil
Heródoto	Los nueve libros de la historia	Historia y Novela histórica
Hermanos Grimm	Juan el fiel	Infantil y juvenil
Hermanos Grimm	Hermano y hermana	Infantil y juvenil
Hernández, José	El gaucho Martín Fierro	Palabras sinfónicas (audiolibros)
H.P Lovecraft	El horror de Dunwich	Literatura Universal
Hemingway, Ernest	El viejo y el mar	Literatura Universal
Hemingway, Ernest	El viejo y el mar	Literatura Universal
Hermanos Grimm	El flautista de Hamelín	Literatura Universal
Hernández, José	El gaucho Martín Fierro	Literatura Universal
Hernández, José	El gaucho Martín Fierro	Literatura Hispanoamericana
Hoffmann, E. T. A.	El hombre de arena	Literatura Universal
Hoyos y Vinent, Antonio de	El monstruo	Literatura Universal
Hugo, Victor	El rey se divierte	Literatura Universal
Hermanos Grimm	El flautista de Hamelín	Infantil y juvenil
Hoffmann, E. T. A.	El Cascanueces y el Rey de los Ratones	Infantil y juvenil
Hemingway, Ernest	El viejo y el mar	Ensayo
Hemingway, Ernest	El viejo y el mar	Ensayo
Hugo, Victor	El exilio	Ensayo
Humboldt, Alexander von	Cosmos: ensayo de una descripción física del mundo	Ensayo
Hermanos Grimm	Blancanieves	Literatura Universal
Howard, Robert E.	Black Canaan	Literatura Universal
Hipócrates	Aforismos y sentencias	Ensayo
