AuthorName	TitleName	TagName
Kirby, William	The golden dog	Literatura Universal
Kafka, Franz	Metamorphosis	Literatura Universal
Kafka, Franz	La metamorfosis	Palabras sinfónicas (audiolibros)
Kafka, Franz	La metamorfosis	Literatura Universal
Kafka, Franz	La condena	Literatura Universal
Khalil Gibrán, Gibrán	El Profeta	Literatura Universal
Kipling, Rudyard	El libro de la selva	Infantil y juvenil
Khalil Gibrán, Gibrán	El Profeta	Autoayuda
Kierkegaard, Sören	Diario de un seductor	Literatura Universal
Kipling, Rudyard	Capitanes intrépidos	Literatura Universal
Kafka, Franz	Ante la ley	Literatura Universal
