AuthorName	TitleName	TagName
Milne, A. A.	Winny de Puh	Infantil y juvenil
Milne, A. A.	Winnie the Pooh	Infantil y juvenil
Mansilla, Lucio V.	Una excursión a los indios ranqueles Tomo 1	Literatura Hispanoamericana
More, Thomas	Utopia	Literatura Universal
Moro, Tomás	Utopía	Literatura Universal
Machiavelli, Nicolò	The Prince	Literatura Universal
Marlowe, Christopher	The Tragical History of Doctor Faustus	Literatura Universal
Maupassant, Guy de	The Horla	Literatura Universal
Montgomery, L. M.	The golden road	Literatura Universal
Montaigne, Michel de	Selección de ensayos	Palabras sinfónicas (audiolibros)
Montaigne, Michel de	Selección de ensayos (Montaigne, Michel de)	Literatura Universal
Mariátegui, José	Siete ensayos de interpretación de la realidad peruana	Ensayo
Montaigne, Michel de	Selección de ensayos (Montaigne, Michel de)	Ensayo
McSpadden, J. Walker	Robin Hood	Literatura Universal
Montgomery, L. M.	Rainbow Valley	Literatura Universal
Melville, Herman	Pierre o las ambigüedades	Literatura Universal
Melville, Herman	Pierre; or The Ambiguities	Literatura Universal
Milton, John	Paradise Lost	Literatura Universal
Martí, José	Nuestra América	Literatura Hispanoamericana
Martí, José	Nuestra América	Historia y Novela histórica
Martí, José	Nuestra América	Ensayo
May Alcott, Louisa	Mujercitas	Palabras sinfónicas (audiolibros)
Melville, Herman	Moby Dick	Palabras sinfónicas (audiolibros)
Melville, Herman	Moby Dick	Literatura Universal
Melville, Herman	Moby Dick	Infantil y juvenil
Melville, Herman	Moby Dick	Infantil y juvenil
Mann, Thomas	La montaña mágica	Literatura Universal
Maquiavelo, Nicolás	La Mandrágora	Literatura Universal
Marlowe, Christopher	La trágica historia del doctor Fausto	Literatura Universal
Melville, Herman	Las encantadas	Literatura Universal
Machado, Antonio	Juan de Mairena	Literatura Hispanoamericana
Machado, Antonio	Juan de Mairena	Historia y Novela histórica
Malory, Thomas	El Rey Arturo y los Caballeros de la Mesa Redonda	Literatura Universal
Mann, Heinrich	El ángel azul	Literatura Universal
Mann, Heinrich	El súbdito	Literatura Universal
Maquiavelo, Nicolás	El príncipe	Literatura Universal
Marlowe, Christopher	Edward the second	Literatura Universal
Maupassant, Guy de	El Horla	Literatura Universal
Milne, A. A.	El misterio de la casa roja	Literatura Universal
Milton, John	El paraíso perdido	Literatura Universal
Milne, A. A.	El rincón de Puh	Infantil y juvenil
Malory, Thomas	El Rey Arturo y los Caballeros de la Mesa Redonda	Historia y Novela histórica
Montaigne, Michel de	Essays of Michel de Montaigne	Ensayo
Mistral, Gabriela	Desolación, Ternura, Tala, Lagar	Literatura Hispanoamericana
Montessori, Maria	Dr. Montessori's own Handbook	Ensayo
Molina, Tirso de	Celos con celos se curan	Literatura Universal
Molina, Tirso de	Celos con celos se curan	Literatura Hispanoamericana
Melville, Herman	Bartleby, el escribiente	Literatura Universal
Melville, Herman	Bartleby, the Scrivener: A Story of Wall-Street	Literatura Universal
Martí, José	Amistad funesta	Palabras sinfónicas (audiolibros)
Machado, Antonio	Abel Martín	Literatura Universal
Mármol, José	Amalia	Literatura Hispanoamericana
Martí, José	Amistad funesta	Literatura Hispanoamericana
Montgomery, Lucy Maud	Ana de las tejas verdes	Literatura Universal
Martí, José	Amistad funesta	Ensayo
