AuthorName	TitleName	TagName
Racine, Jean	Phaedra	Literatura Universal
Rizal, José	Noli me tangere	Literatura Universal
Riva Palacio, Vicente	Monja y Casada, Virgen y Mártir	Palabras sinfónicas (audiolibros)
Riva Palacio, Vicente	Monja y Casada, Virgen y Mártir	Literatura Hispanoamericana
Riva Palacio, Vicente	Memorias de un impostor	Literatura Hispanoamericana
Riva Palacio, Vicente	Memorias de un impostor	Historia y Novela histórica
Rand, Ayn	La rebelión de Atlas	Literatura Universal
Riva Palacio, Vicente	Las dos emparedadas	Literatura Hispanoamericana
Riva Palacio, Vicente	Los piratas del Golfo	Literatura Hispanoamericana
Rivera, José Eustasio	La vorágine	Literatura Hispanoamericana
Rojas, Fernando de	La Celestina	Literatura Universal
Rojas, Fernando de	La Celestina	Literatura Hispanoamericana
Ruiz de Alarcón, Juan	La verdad sospechosa	Literatura Hispanoamericana
Rivera, José Eustasio	La vorágine	Historia y Novela histórica
Rabelais, François	Gargantúa y Pantagruel	Literatura Universal
Rizal, José	El filibusterismo	Literatura Universal
Róterdam, Erasmo de	Elogio de la locura	Literatura Universal
Rousseau, Jean-Jacques	Emilio o De la Educación	Ensayo
Rousseau, Jean-Jacques	Emilio o De la Educación	Autoayuda
Reed, John	Diez días que estremecieron al mundo	Ensayo
Rilke, Rainer Maria	Cartas a un joven poeta	Palabras sinfónicas (audiolibros)
Riva Palacio, Vicente	Cuentos del general	Literatura Hispanoamericana
Rilke, Rainer Maria	Cartas a un joven poeta	Autoayuda
Rodó, José	Ariel	Literatura Hispanoamericana
Rodó, José	Ariel	Ensayo
Rand, Ayn	¡Vivir!	Literatura Universal
