AuthorName	TitleName	TagName
Saint-Exupéry, Antoine de	Vuelo nocturno	Literatura Universal
Swift, Jonathan	Una humilde propuesta	Literatura Universal
Sand, George	The devil's pool	Literatura Universal
Scott, Walter	The lady of the lake	Literatura Universal
Shakespeare, William	The Taming of the Shrew	Literatura Universal
Shakespeare, William	The Tragedy of King Lear	Literatura Universal
Shakespeare, William	The Tempest	Literatura Universal
Shakespeare, William	The Merchant of Venice	Literatura Universal
Stendhal	The Red and the Black: A Chronicle of 1830	Literatura Universal
Stevenson, Robert Louis	Treasure Island	Literatura Universal
Stevenson, Robert Louis	The wrong box	Literatura Universal
Shelley, Mary	The Modern Prometheus	Infantil y juvenil
Stevenson, Robert Louis	The Strange Case of Dr. Jekyll and Mr. Hyde	Infantil y juvenil
Sōseki, Natsume	Sueño de la libélula	Literatura Universal
Stuart Mill, John	Sobre la libertad	Autoayuda
Scott, Walter	Robin Hood	Literatura Universal
Shakespeare, William	Romeo y Julieta	Literatura Universal
Shakespeare, William	Romeo and Juliet	Literatura Universal
Stendhal	Rojo y negro	Literatura Universal
Shaw, George Bernard	Pigmalión	Literatura Universal
Storni, Alfonsina	Poemas (Storni, Alfonsina)	Literatura Hispanoamericana
Shakespeare, William	Otelo	Literatura Universal
Shakespeare, William	Othello	Literatura Universal
Sophocles	Oedipus at Colonus	Literatura Universal
Shakespeare, William	Macbeth	Literatura Universal
Shakespeare, William	Mucho ruido y pocas nueces	Literatura Universal
Shakespeare, William	Macbeth	Literatura Universal
Sixto, José	Memorias de un vigilante	Literatura Hispanoamericana
Sand, George	Los fuegos fatuos	Literatura Universal
Shakespeare, William	La fierecilla domada	Literatura Universal
Shakespeare, William	La tempestad	Literatura Universal
Smith, Adam	La riqueza de las naciones	Literatura Universal
Swift, Jonathan	Los viajes de Gulliver	Literatura Universal
Stevenson, Robert Louis	La isla del tesoro	Infantil y juvenil
Swift, Jonathan	Los viajes de Gulliver	Infantil y juvenil
Sinúes, María del Pilar	La mujer en nuestros días	Ensayo
Smith, Adam	La teoría de los sentimientos morales	Ensayo
Smith, Adam	La mano invisible	Ensayo
Swett Marden, Orison	La alegría de vivir	Autoayuda
Sophocles	King Oedipus	Literatura Universal
Shakespeare, William	Julio César	Literatura Universal
Shakespeare, William	Julius Caesar	Literatura Universal
Scott, Walter	Ivanhoe	Literatura Universal
Scott, Walter	Ivanhoe: A romance	Literatura Universal
Shakespeare, William	Hamlet	Literatura Universal
Shakespeare, William	Hamlet, Prince of Denmark	Literatura Universal
Spyri, Johanna	Heidi	Infantil y juvenil
Spyri, Johanna	Heidi	Infantil y juvenil
Scott, Walter	Guy Mannering	Literatura Universal
Swift, Jonathan	Gulliver's Travels into Several Remote Nations of the World	Infantil y juvenil
Sanborns	Gastronomía Mexicana	Gastronomía
Samaniego, Félix María	Fábulas	Palabras sinfónicas (audiolibros)
Sarmiento, Domingo	Facundo	Palabras sinfónicas (audiolibros)
Samaniego, Félix María	Fábulas	Literatura Universal
Samaniego, Félix María	Fábulas	Literatura Hispanoamericana
Sarmiento, Faustino Domingo	Facundo	Literatura Hispanoamericana
Shelley, Mary	Frankenstein	Literatura Universal
Samaniego, Félix María	Fábulas	Infantil y juvenil
Sarmiento, Faustino Domingo	Facundo	Historia y Novela histórica
Sarmiento, Faustino Domingo	Facundo	Ensayo
Saint-Exupéry, Antoine de	El Principito	Palabras sinfónicas (audiolibros)
Sófocles	Edipo Rey	Palabras sinfónicas (audiolibros)
Stevenson, Robert Louis	El extraño caso del doctor Jekyll y el señor Hyde	Palabras sinfónicas (audiolibros)
Saint-Exupéry, Antoine de	El Principito	Literatura Universal
Salgari, Emilio	El capitán Tormenta	Literatura Universal
Shakespeare, William	El sueño de una noche de verano	Literatura Universal
Shakespeare, William	El rey Lear	Literatura Universal
Shakespeare, William	El mercader de Venecia	Literatura Universal
Sófocles	Edipo rey	Literatura Universal
Sófocles	Edipo en Colono	Literatura Universal
Sófocles	Electra	Literatura Universal
Sophocles	Electra	Literatura Universal
Stevenson, Robert Louis	El extraño caso del doctor Jekyll y el señor Hyde	Literatura Universal
Saint-Exupéry, Antoine de	El Principito	Infantil y juvenil
Sierra, Justo	Evolución política del pueblo mexicano	Historia y Novela histórica
Saint-Exupéry, Antoine de	El Principito	Autoayuda
Schopenhauer, Arthur	El arte de ser feliz	Autoayuda
Smiles, Samuel	El carácter	Autoayuda
Stoker, Bram	Drácula	Literatura Universal
Stoker, Bram	Dracula	Infantil y juvenil
Séneca	De la brevedad de la vida	Ensayo
Sbarbi y Osuna, José María	Diccionario de refranes, adagios, proverbios, modismos, locuciones y frases proverbiales	Académicos
Séneca	De la brevedad de la vida	Autoayuda
Simeón, Rémi	Diccionario de la lengua náhuatl o mexicana. Vol 1	Académicos
Simeón, Rémi	Diccionario de la lengua náhuatl o mexicana. Vol 1	Académicos
Sand, George	Cuentos de una abuela	Literatura Universal
San Agustín	Confesiones de San Agustín. Tomo I	Ensayo
San Agustín	Confesiones de San Agustín. Tomo II	Ensayo
Santa Teresa de Jesús	Camino de perfección	Ensayo
Sand, George	Cuentos de una abuela	Autoayuda
Santa Teresa de Jesús	Camino de perfección	Autoayuda
Sewell, Anna	Belleza negra	Literatura Universal
Sófocles	Áyax	Literatura Universal
Serrano, Emilia	América y sus mujeres	Literatura Hispanoamericana
Shakespeare, William	Antonio y Cleopatra	Literatura Universal
Shakespeare, William	A buen fin no hay mal principio	Literatura Universal
Sófocles	Antígona	Literatura Universal
Sophocles	Antigone	Literatura Universal
Sophocles	Aias	Literatura Universal
Sōseki, Natsume	Almohada de hierba	Literatura Universal
Stevenson, Robert Louis	Aventuras de un cadáver	Literatura Universal
Swift, Jonathan	A modest proposal	Literatura Universal
Stevenson, Robert Louis	Aventuras de un cadáver	Infantil y juvenil
Serrano, Emilia	América y sus mujeres	Historia y Novela histórica
Serrano, Emilia	América y sus mujeres	Ensayo
Stevenson, Robert Louis	Apología del ocio	Ensayo
