AuthorName	TitleName	TagName
Thackeray, William Makepeace	Vanity Fair	Literatura Universal
Thoreau, Henry David	Un paseo invernal	Ensayo
Twain, Mark	The Prince and the Pauper	Literatura Universal
Twain, Mark	The Stolen White Elephant	Literatura Universal
Twain, Mark	The Adventures of Tom Sawyer	Infantil y juvenil
Thoreau, Henry David	Todo lo bueno es libre y salvaje	Ensayo
Twain, Mark	Las aventuras de Tom Sawyer	Palabras sinfónicas (audiolibros)
Tolstói, León	La camisa del hombre feliz	Literatura Universal
Twain, Mark	Las aventuras de Tom Sawyer	Literatura Universal
Twain, Mark	Las aventuras de Huckleberry Finn	Literatura Universal
Tárrago y Mateos	El cuento de la abuelita	Literatura Hispanoamericana
Twain, Mark	El príncipe y el mendigo	Literatura Universal
Twain, Mark	El robo del elefante blanco	Literatura Universal
Tzu, Sun	El arte de la guerra	Literatura Universal
Tzu, Sun	El arte de la guerra	Ensayo
Tzu, Sun	El arte de la guerra	Autoayuda
Thoreau, Henry David	Cartas a un buscador de sí mismo	Ensayo
Tolstói, León	Ana Karenina	Literatura Universal
Tolstoy, Leo	Anna Karenina	Literatura Universal
Twain, Mark	Adventures of Huckleberry Finn	Infantil y juvenil
