AuthorName	TitleName	TagName
Verne, Julio	Veinte mil leguas de viaje submarino	Literatura Universal
Verne, Julio	Viaje al centro de la tierra	Literatura Universal
Verne, Julio	Veinte mil leguas de viaje submarino	Infantil y juvenil
Verne, Julio	Viaje al centro de la tierra	Infantil y juvenil
Virgil	The Aeneid	Literatura Universal
Verne, Jules	Twenty Thousand Leagues under the Sea	Infantil y juvenil
Verne, Jules	The Mysterious Island	Infantil y juvenil
Valle Inclán, Ramón María del	Tirano Banderas	Historia y Novela histórica
Vallejo, César	Selección de poemas (Vallejo, César)	Literatura Hispanoamericana
Valera, Juan	Pepita Jiménez	Palabras sinfónicas (audiolibros)
Valera, Juan	Pepita Jiménez	Literatura Universal
Valera, Juan	Pepita Jiménez	Literatura Hispanoamericana
Vallejo, César	Paco Yunque	Infantil y juvenil
Vasconcelos, José	La raza cósmica	Palabras sinfónicas (audiolibros)
Verne, Julio	La vuelta al mundo en 80 días	Palabras sinfónicas (audiolibros)
Vasconcelos, José	La Raza Cósmica	Literatura Hispanoamericana
Vega, Lope de	La discreta enamorada	Literatura Hispanoamericana
Verne, Julio	La vuelta al mundo en 80 días	Literatura Universal
Verne, Julio	La isla misteriosa	Literatura Universal
Verne, Julio	La esfinge de los hielos	Literatura Universal
Voltaire	Letters on England	Literatura Universal
Vasconcelos, José	La Raza Cósmica	Ensayo
Valera, Juan	Junita la larga	Palabras sinfónicas (audiolibros)
Valera, Juan	Juanita la Larga	Literatura Universal
Valera, Juan	Juanita la Larga	Literatura Hispanoamericana
Verne, Jules	From the Earth to the Moon	Infantil y juvenil
Valdelomar, Abraham	El vuelo de los cóndores	Literatura Hispanoamericana
Vega, Lope de	El perro del hortelano	Literatura Hispanoamericana
Vikelas, Dimitrios	En casa del oculista	Literatura Universal
Virgilio	Eneida	Literatura Universal
Verne, Julio	De la tierra a la luna	Literatura Universal
Verne, Julio	Dueño del mundo	Literatura Universal
Voltaire	Diccionario filosófico. Vol. 1	Académicos
Voltaire	Cándido o el optimismo	Literatura Universal
Voltaire	Candide	Literatura Universal
Vega, Inca Garcilaso de la	Comentarios reales de los Incas	Historia y Novela histórica
Verne, Julio	Alrededor de la luna	Literatura Universal
Verne, Julio	Ante la bandera	Literatura Universal
Verne, Jules	Around the World in Eighty Days	Infantil y juvenil
Verne, Jules	A Journey to the Center of the Earth	Infantil y juvenil
